startprofiel,startprofiel+extra,LF  startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,verlies aan energie,390 of 360A,profiel 360/390A afhankelijk van LF,verlies aan energie2,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel 360/390A2
148.3695652174,222.5543478261,0,222.5543478261,0,0,0,0,390,222.5543478261,0,0,,,,
90.802173913,136.2032608696,0,136.2032608696,0,0,0,0,390,136.2032608696,0,0,,,,
77.7456521739,116.6184782609,0,116.6184782609,0,0,0,0,390,116.6184782609,0,0,,,,
151.3369565217,227.0054347826,0,227.0054347826,0,0,0,0,390,227.0054347826,0,0,,,,
299.1130434783,448.6695652174,0,448.6695652174,0,0,0,0,390,390,395.8435565217,0,,,,
222.5543478261,333.8315217391,0,333.8315217391,0,0,0,0,390,333.8315217391,0,0,,,,
187.5391304348,281.3086956522,0,281.3086956522,0,0,0,0,390,281.3086956522,0,0,,,,
159.6456521739,239.4684782609,0,239.4684782609,0,0,0,0,390,239.4684782609,0,0,,,,
167.9543478261,251.9315217391,0,251.9315217391,0,0,0,0,390,251.9315217391,0,0,,,,
207.1239130435,310.6858695652,0,310.6858695652,0,0,0,0,390,310.6858695652,0,0,,,,
217.8065217391,326.7097826087,0,326.7097826087,0,0,0,0,390,326.7097826087,0,0,,,,
225.5217391304,338.2826086957,0,338.2826086957,0,0,0,0,390,338.2826086957,0,0,,,,
201.1891304348,301.7836956522,0,301.7836956522,0,0,0,0,390,301.7836956522,0,0,,,,
240.952173913,361.4282608696,0,361.4282608696,0,0,0,0,390,361.4282608696,0,0,,,,
198.2217391304,297.3326086957,0,297.3326086957,0,0,0,0,390,297.3326086957,0,0,,,,
209.497826087,314.2467391304,0,314.2467391304,0,0,0,0,390,314.2467391304,0,0,,,,
138.8739130435,208.3108695652,0,208.3108695652,0,0,0,0,390,208.3108695652,0,0,,,,
157.8652173913,236.797826087,0,236.797826087,0,0,0,0,390,236.797826087,0,0,,,,
140.6543478261,210.9815217391,0,210.9815217391,0,0,0,0,390,210.9815217391,0,0,,,,
102.6717391304,154.0076086957,0,154.0076086957,0,0,0,0,390,154.0076086957,0,0,,,,
164.9869565217,247.4804347826,0,247.4804347826,0,0,0,0,390,247.4804347826,0,0,,,,
153.7108695652,230.5663043478,0,230.5663043478,0,0,0,0,390,230.5663043478,0,0,,,,
140.6543478261,210.9815217391,0,210.9815217391,0,0,0,0,390,210.9815217391,0,0,,,,
112.7608695652,169.1413043478,0,169.1413043478,0,0,0,0,390,169.1413043478,0,0,,,,
135.9065217391,203.8597826087,0,203.8597826087,0,0,0,0,390,203.8597826087,0,0,,,,
168.547826087,252.8217391304,0,252.8217391304,0,0,0,0,390,252.8217391304,0,0,,,,
115.7282608696,173.5923913043,0,173.5923913043,0,0,0,0,390,173.5923913043,0,0,,,,
100.8913043478,151.3369565217,0,151.3369565217,0,0,0,0,390,151.3369565217,0,0,,,,
114.5413043478,171.8119565217,0,171.8119565217,0,0,0,0,390,171.8119565217,0,0,,,,
98.5173913043,147.7760869565,0,147.7760869565,0,0,0,0,390,147.7760869565,0,0,,,,
90.802173913,136.2032608696,0,136.2032608696,0,0,0,0,390,136.2032608696,0,0,,,,
84.2739130435,126.4108695652,0,126.4108695652,0,0,0,0,390,126.4108695652,0,0,,,,
185.7586956522,278.6380434783,0,278.6380434783,0,0,0,0,390,278.6380434783,0,0,,,,
210.0913043478,315.1369565217,0,315.1369565217,0,0,0,0,390,315.1369565217,0,0,,,,
181.0108695652,271.5163043478,0,271.5163043478,0,0,0,0,390,271.5163043478,0,0,,,,
184.5717391304,276.8576086957,0,276.8576086957,0,0,0,0,390,276.8576086957,0,0,,,,
195.2543478261,292.8815217391,0,292.8815217391,0,0,0,0,390,292.8815217391,0,0,,,,
86.0543478261,129.0815217391,0,129.0815217391,0,0,0,0,390,129.0815217391,0,0,,,,
68.25,102.375,0,102.375,0,0,0,0,390,102.375,0,0,,,,
160.8326086957,241.2489130435,0,241.2489130435,0,0,0,0,390,241.2489130435,0,0,,,,
223.147826087,334.7217391304,0,334.7217391304,0,0,0,0,390,334.7217391304,0,0,,,,
191.1,286.65,0,286.65,0,0,0,0,390,286.65,0,0,,,,
168.547826087,252.8217391304,0,252.8217391304,0,0,0,0,390,252.8217391304,0,0,,,,
186.352173913,279.5282608696,0,279.5282608696,0,0,0,0,390,279.5282608696,0,0,,,,
152.5239130435,228.7858695652,0,228.7858695652,0,0,0,0,390,228.7858695652,0,0,,,,
148.9630434783,223.4445652174,0,223.4445652174,0,0,0,0,390,223.4445652174,0,0,,,,
145.9956521739,218.9934782609,0,218.9934782609,0,0,0,0,390,218.9934782609,0,0,,,,
149.5565217391,224.3347826087,0,224.3347826087,0,0,0,0,390,224.3347826087,0,0,,,,
136.5,204.75,0,204.75,0,0,0,0,390,204.75,0,0,,,,
181.0108695652,271.5163043478,0,271.5163043478,0,0,0,0,390,271.5163043478,0,0,,,,
177.45,266.175,0.5834070796,266.175,0.5834070796,507,0,0,390,266.175,0,0,,,,
158.4586956522,237.6880434783,0.5936742424,237.6880434783,0.5936742424,507,0,0,390,237.6880434783,0,0,,,,
211.8717391304,317.8076086957,0.5902462121,317.8076086957,0.5902462121,507,0,0,390,317.8076086957,0,0,,,,
195.2543478261,292.8815217391,0.5861174242,292.8815217391,0.5861174242,507,0,0,390,292.8815217391,0,0,,,,
192.8804347826,289.3206521739,0.5825378788,289.3206521739,0.5825378788,507,0,0,390,289.3206521739,0,0,,,,
150.15,225.225,0.5778219697,225.225,0.5778219697,507,0,0,390,225.225,0,0,,,,
131.1586956522,196.7380434783,0.5721022727,196.7380434783,0.5721022727,507,0,0,390,196.7380434783,0,0,,,,
157.8652173913,236.797826087,0.5675568182,236.797826087,0.5675568182,507,0,0,390,236.797826087,0,0,,,,
153.1173913043,229.6760869565,0.5623863636,229.6760869565,0.5623863636,507,0,0,390,229.6760869565,0,0,,,,
153.7108695652,230.5663043478,0.5703561453,230.5663043478,0.5703561453,507,0,0,390,230.5663043478,0,0,,,,
141.247826087,211.8717391304,0.5709353421,211.8717391304,0.5709353421,507,0,0,390,211.8717391304,0,0,,,,
