"hour.horizon","mean","sd"
"1",0.4999,0.0251
"2",0.4999,0.0251
"3",0.4999,0.0251
"4",0.4999,0.0251
"5",0.4999,0.0251
"6",0.4999,0.0251
"7",0.4999,0.0251
"8",0.4999,0.0251
"9",0.4999,0.0251
"10",0.4999,0.0251
"11",0.4999,0.0251
"12",0.4999,0.0251
"13",0.4999,0.0251
"14",0.4999,0.0251
"15",0.4999,0.0251
"16",0.4999,0.0251
"17",0.4999,0.0251
"18",0.4999,0.0251
"19",0.4999,0.0251
"20",0.4999,0.0251
"21",0.4999,0.0251
"22",0.4999,0.0251
"23",0.4999,0.0251
"24",0.4999,0.0251
"25",0.4999,0.0251
"26",0.4999,0.0251
"27",0.4999,0.0251
"28",0.4999,0.0251
"29",0.4999,0.0251
"30",0.4999,0.0251
"31",0.4999,0.0251
"32",0.4999,0.0251
"33",0.4999,0.0251
"34",0.4999,0.0251
"35",0.4999,0.0251
"36",0.4999,0.0251
