"hour.horizon","mean","sd"
"1",0.0234,0.124748
"2",0.0234,0.124748
"3",0.0234,0.124748
"4",0.0234,0.124748
"5",0.0234,0.124748
"6",0.0234,0.124748
"7",0.0234,0.124748
"8",0.0234,0.124748
"9",0.0234,0.124748
"10",0.0234,0.124748
"11",0.0234,0.124748
"12",0.0234,0.124748
"13",0.0234,0.124748
"14",0.0234,0.124748
"15",0.0234,0.124748
"16",0.0234,0.124748
"17",0.0234,0.124748
"18",0.0234,0.124748
"19",0.0234,0.124748
"20",0.0234,0.124748
"21",0.0234,0.124748
"22",0.0234,0.124748
"23",0.0234,0.124748
"24",0.0234,0.124748
"25",0.0234,0.124748
"26",0.0234,0.124748
"27",0.0234,0.124748
"28",0.0234,0.124748
"29",0.0234,0.124748
"30",0.0234,0.124748
"31",0.0234,0.124748
"32",0.0234,0.124748
"33",0.0234,0.124748
"34",0.0234,0.124748
"35",0.0234,0.124748
"36",0.0234,0.124748
