"hour.horizon","mean","sd"
"1",0.0,4.1616
"2",0.0,4.1616
"3",0.0,4.1616
"4",0.0,4.1616
"5",0.0,4.1616
"6",0.0,4.1616
"7",0.0,4.1616
"8",0.0,4.1616
"9",0.0,4.1616
"10",0.0,4.1616
"11",0.0,4.1616
"12",0.0,4.1616
"13",0.0,4.1616
"14",0.0,4.1616
"15",0.0,4.1616
"16",0.0,4.1616
"17",0.0,4.1616
"18",0.0,4.1616
"19",0.0,4.1616
"20",0.0,4.1616
"21",0.0,4.1616
"22",0.0,4.1616
"23",0.0,4.1616
"24",0.0,4.1616
"25",0.0,4.1616
"26",0.0,4.1616
"27",0.0,4.1616
"28",0.0,4.1616
"29",0.0,4.1616
"30",0.0,4.1616
"31",0.0,4.1616
"32",0.0,4.1616
"33",0.0,4.1616
"34",0.0,4.1616
"35",0.0,4.1616
"36",0.0,4.1616
