"hour.horizon","mean","sd"
"1",0.4999,0.0069
"2",0.4999,0.0069
"3",0.4999,0.0069
"4",0.4999,0.0069
"5",0.4999,0.0069
"6",0.4999,0.0069
"7",0.4999,0.0069
"8",0.4999,0.0069
"9",0.4999,0.0069
"10",0.4999,0.0069
"11",0.4999,0.0069
"12",0.4999,0.0069
"13",0.4999,0.0069
"14",0.4999,0.0069
"15",0.4999,0.0069
"16",0.4999,0.0069
"17",0.4999,0.0069
"18",0.4999,0.0069
"19",0.4999,0.0069
"20",0.4999,0.0069
"21",0.4999,0.0069
"22",0.4999,0.0069
"23",0.4999,0.0069
"24",0.4999,0.0069
"25",0.4999,0.0069
"26",0.4999,0.0069
"27",0.4999,0.0069
"28",0.4999,0.0069
"29",0.4999,0.0069
"30",0.4999,0.0069
"31",0.4999,0.0069
"32",0.4999,0.0069
"33",0.4999,0.0069
"34",0.4999,0.0069
"35",0.4999,0.0069
"36",0.4999,0.0069
