"hour.horizon","mean","sd"
"1",0.49985,0.0338
"2",0.49985,0.0338
"3",0.49985,0.0338
"4",0.49985,0.0338
"5",0.49985,0.0338
"6",0.49985,0.0338
"7",0.49985,0.0338
"8",0.49985,0.0338
"9",0.49985,0.0338
"10",0.49985,0.0338
"11",0.49985,0.0338
"12",0.49985,0.0338
"13",0.49985,0.0338
"14",0.49985,0.0338
"15",0.49985,0.0338
"16",0.49985,0.0338
"17",0.49985,0.0338
"18",0.49985,0.0338
"19",0.49985,0.0338
"20",0.49985,0.0338
"21",0.49985,0.0338
"22",0.49985,0.0338
"23",0.49985,0.0338
"24",0.49985,0.0338
"25",0.49985,0.0338
"26",0.49985,0.0338
"27",0.49985,0.0338
"28",0.49985,0.0338
"29",0.49985,0.0338
"30",0.49985,0.0338
"31",0.49985,0.0338
"32",0.49985,0.0338
"33",0.49985,0.0338
"34",0.49985,0.0338
"35",0.49985,0.0338
"36",0.49985,0.0338
