startprofiel,startprofiel+extra,LF  startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,verlies aan energie,390 of 360A,profiel 360/390A afhankelijk van LF,verlies aan energie2,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel2 360/390A
209.4978261,314.2467391,0,314.2467391,0,0,0,0,390,314.2467391,0,0,,,,
138.873913,208.3108696,0,208.3108696,0,0,0,0,390,208.3108696,0,0,,,,
157.8652174,236.7978261,0,236.7978261,0,0,0,0,390,236.7978261,0,0,,,,
140.6543478,210.9815217,0,210.9815217,0,0,0,0,390,210.9815217,0,0,,,,
102.6717391,154.0076087,0,154.0076087,0,0,0,0,390,154.0076087,0,0,,,,
164.9869565,247.4804348,0,247.4804348,0,0,0,0,390,247.4804348,0,0,,,,
153.7108696,230.5663043,0,230.5663043,0,0,0,0,390,230.5663043,0,0,,,,
140.6543478,210.9815217,0,210.9815217,0,0,0,0,390,210.9815217,0,0,,,,
112.7608696,169.1413043,0,169.1413043,0,0,0,0,390,169.1413043,0,0,,,,
135.9065217,203.8597826,0,203.8597826,0,0,0,0,390,203.8597826,0,0,,,,
168.5478261,252.8217391,0,252.8217391,0,0,0,0,390,252.8217391,0,0,,,,
115.7282609,173.5923913,0,173.5923913,0,0,0,0,390,173.5923913,0,0,,,,
100.8913043,151.3369565,0,151.3369565,0,0,0,0,390,151.3369565,0,0,,,,
114.5413043,171.8119565,0,171.8119565,0,0,0,0,390,171.8119565,0,0,,,,
98.5173913,147.776087,0,147.776087,0,0,0,0,390,147.776087,0,0,,,,
90.80217391,136.2032609,0,136.2032609,0,0,0,0,390,136.2032609,0,0,,,,
84.27391304,126.4108696,0,126.4108696,0,0,0,0,390,126.4108696,0,0,,,,
185.7586957,278.6380435,0,278.6380435,0,0,0,0,390,278.6380435,0,0,,,,
210.0913043,315.1369565,0,315.1369565,0,0,0,0,390,315.1369565,0,0,,,,
181.0108696,271.5163043,0,271.5163043,0,0,0,0,390,271.5163043,0,0,,,,
184.5717391,276.8576087,0,276.8576087,0,0,0,0,390,276.8576087,0,0,,,,
195.2543478,292.8815217,0,292.8815217,0,0,0,0,390,292.8815217,0,0,,,,
86.05434783,129.0815217,0,129.0815217,0,0,0,0,390,129.0815217,0,0,,,,
68.25,102.375,0,102.375,0,0,0,0,390,102.375,0,0,,,,
160.8326087,241.248913,0,241.248913,0,0,0,0,390,241.248913,0,0,,,,
223.1478261,334.7217391,0,334.7217391,0,0,0,0,390,334.7217391,0,0,,,,
191.1,286.65,0,286.65,0,0,0,0,390,286.65,0,0,,,,
168.5478261,252.8217391,0,252.8217391,0,0,0,0,390,252.8217391,0,0,,,,
186.3521739,279.5282609,0,279.5282609,0,0,0,0,390,279.5282609,0,0,,,,
152.523913,228.7858696,0,228.7858696,0,0,0,0,390,228.7858696,0,0,,,,
148.9630435,223.4445652,0,223.4445652,0,0,0,0,390,223.4445652,0,0,,,,
145.9956522,218.9934783,0,218.9934783,0,0,0,0,390,218.9934783,0,0,,,,
149.5565217,224.3347826,0,224.3347826,0,0,0,0,390,224.3347826,0,0,,,,
136.5,204.75,0,204.75,0,0,0,0,390,204.75,0,0,,,,
181.0108696,271.5163043,0,271.5163043,0,0,0,0,390,271.5163043,0,0,,,,
177.45,266.175,0.58340708,266.175,0.58340708,507,0,0,390,266.175,0,0,,,,
158.4586957,237.6880435,0.593674242,237.6880435,0.593674242,507,0,0,390,237.6880435,0,0,,,,
211.8717391,317.8076087,0.590246212,317.8076087,0.590246212,507,0,0,390,317.8076087,0,0,,,,
195.2543478,292.8815217,0.586117424,292.8815217,0.586117424,507,0,0,390,292.8815217,0,0,,,,
192.8804348,289.3206522,0.582537879,289.3206522,0.582537879,507,0,0,390,289.3206522,0,0,,,,
150.15,225.225,0.57782197,225.225,0.57782197,507,0,0,390,225.225,0,0,,,,
131.1586957,196.7380435,0.572102273,196.7380435,0.572102273,507,0,0,390,196.7380435,0,0,,,,
157.8652174,236.7978261,0.567556818,236.7978261,0.567556818,507,0,0,390,236.7978261,0,0,,,,
153.1173913,229.676087,0.562386364,229.676087,0.562386364,507,0,0,390,229.676087,0,0,,,,
153.7108696,230.5663043,0.570356145,230.5663043,0.570356145,507,0,0,390,230.5663043,0,0,,,,
141.2478261,211.8717391,0.570935342,211.8717391,0.570935342,507,0,0,390,211.8717391,0,0,,,,
163.8,245.7,0.576795425,245.7,0.576795425,507,0,0,390,245.7,0,0,,,,
144.2152174,216.3228261,0.571357166,216.3228261,0.571357166,507,0,0,390,216.3228261,0,0,,,,
144.2152174,216.3228261,0.579138016,216.3228261,0.579138016,507,0,0,390,216.3228261,0,0,,,,
140.6543478,210.9815217,0.573735265,210.9815217,0.573735265,507,0,0,390,210.9815217,0,0,,,,
161.426087,242.1391304,0.57452877,242.1391304,0.57452877,507,0,0,390,242.1391304,0,0,,,,
125.8173913,188.726087,0.569320437,188.726087,0.569320437,507,0,0,390,188.726087,0,0,,,,
103.2652174,154.8978261,0.563202712,154.8978261,0.563202712,507,0,0,390,154.8978261,0,0,,,,
95.55,143.325,0.556919643,143.325,0.556919643,507,0,0,390,143.325,0,0,,,,
99.70434783,149.5565217,0.550553902,149.5565217,0.550553902,507,0,0,390,149.5565217,0,0,,,,
97.92391304,146.8858696,0.545180225,146.8858696,0.545180225,507,0,0,390,146.8858696,0,0,,,,
89.02173913,133.5326087,0.53875248,133.5326087,0.53875248,507,0,0,390,133.5326087,0,0,,,,
72.40434783,108.6065217,0.532800099,108.6065217,0.532800099,507,0,0,390,108.6065217,0,0,,,,
57.5673913,86.35108696,0.525731647,86.35108696,0.525731647,507,0,0,390,86.35108696,0,0,,,,
45.69782609,68.54673913,0.518849206,68.54673913,0.518849206,507,0,0,390,68.54673913,0,0,,,,
51.03913043,76.55869565,0.51130539,76.55869565,0.51130539,507,0,0,390,76.55869565,0,0,,,,
59.34782609,89.02173913,0.504567626,89.02173913,0.504567626,507,0,0,390,89.02173913,0,0,,,,
58.75434783,88.13152174,0.49958664,88.13152174,0.49958664,507,0,0,390,88.13152174,0,0,,,,
49.85217391,74.77826087,0.493861607,74.77826087,0.493861607,507,0,0,390,74.77826087,0,0,,,,
59.94130435,89.91195652,0.491154101,89.91195652,0.491154101,507,0,0,390,89.91195652,0,0,,,,
69.43695652,104.1554348,0.488425926,104.1554348,0.488425926,507,0,0,390,104.1554348,0,0,,,,
82.49347826,123.7402174,0.485594411,123.7402174,0.485594411,507,0,0,390,123.7402174,0,0,,,,
75.96521739,113.9478261,0.481109458,113.9478261,0.481109458,507,0,0,390,113.9478261,0,0,,,,
81.30652174,121.9597826,0.478753307,121.9597826,0.478753307,507,0,0,390,121.9597826,0,0,,,,
88.42826087,132.6423913,0.476438492,132.6423913,0.476438492,507,0,0,390,132.6423913,0,0,,,,
89.61521739,134.4228261,0.474206349,134.4228261,0.474206349,507,0,0,390,134.4228261,0,0,,,,
91.39565217,137.0934783,0.47286293,137.0934783,0.47286293,507,0,0,390,137.0934783,0,0,,,,
106.826087,160.2391304,0.471581515,160.2391304,0.471581515,507,0,0,390,160.2391304,0,0,,,,
86.64782609,129.9717391,0.468357308,129.9717391,0.468357308,507,0,0,390,129.9717391,0,0,,,,
80.11956522,120.1793478,0.46792328,120.1793478,0.46792328,507,0,0,390,120.1793478,0,0,,,,
86.05434783,129.0815217,0.466021825,129.0815217,0.466021825,507,0,0,390,129.0815217,0,0,,,,
72.99782609,109.4967391,0.459842097,109.4967391,0.459842097,507,0,0,390,109.4967391,0,0,,,,
56.97391304,85.46086957,0.456245866,85.46086957,0.456245866,507,0,0,390,85.46086957,0,0,,,,
54.00652174,81.00978261,0.454530423,81.00978261,0.454530423,507,0,0,390,81.00978261,0,0,,,,
43.9173913,65.87608696,0.450624173,65.87608696,0.450624173,507,0,0,390,65.87608696,0,0,,,,
23.14565217,34.71847826,0.446283896,34.71847826,0.446283896,507,0,0,390,34.71847826,0,0,,,,
52.81956522,79.22934783,0.442956349,79.22934783,0.442956349,507,0,0,390,79.22934783,0,0,,,,
46.88478261,70.32717391,0.441426918,70.32717391,0.441426918,507,0,0,390,70.32717391,0,0,,,,
27.3,40.95,0.439670139,40.95,0.439670139,507,0,0,390,40.95,0,0,,,,
30.2673913,45.40108696,0.435453869,45.40108696,0.435453869,507,0,0,390,45.40108696,0,0,,,,
41.54347826,62.31521739,0.529428366,62.31521739,0.529428366,507,0,0,390,62.31521739,0,0,,,,
41.54347826,62.31521739,0.521603038,62.31521739,0.521603038,507,0,0,390,62.31521739,0,0,,,,
36.20217391,54.30326087,0.51506055,54.30326087,0.51506055,507,0,0,390,54.30326087,0,0,,,,
43.32391304,64.98586957,0.510031814,64.98586957,0.510031814,507,0,0,390,64.98586957,0,0,,,,
57.5673913,86.35108696,0.505259647,86.35108696,0.505259647,507,0,0,390,86.35108696,0,0,,,,
48.07173913,72.1076087,0.498383621,72.1076087,0.498383621,507,0,0,390,72.1076087,0,0,,,,
28.48695652,42.73043478,0.490199097,42.73043478,0.490199097,507,0,0,390,42.73043478,0,0,,,,
0,0,0.480449507,0,0.480449507,507,0,0,390,0,0,0,,,,
0,0,0.471751847,0,0.471751847,507,0,0,390,0,0,0,,,,
0,0,0.498143839,0,0.498143839,507,0,0,390,0,0,0,,,,
0,0,0.488890736,0,0.488890736,507,0,0,390,0,0,0,,,,
0,0,0.479111259,0,0.479111259,507,0,0,390,0,0,0,,,,
62.90869565,94.36304348,0.47556516,94.36304348,0.47556516,507,0,0,390,94.36304348,0,0,,,,
59.34782609,89.02173913,0.470966312,89.02173913,0.470966312,507,0,0,390,89.02173913,0,0,,,,
97.33043478,145.9956522,0.468943927,145.9956522,0.468943927,507,0,0,390,145.9956522,0,0,,,,
106.2326087,159.348913,0.469110151,159.348913,0.469110151,507,0,0,390,159.348913,0,0,,,,
109.7934783,164.6902174,0.466533688,164.6902174,0.466533688,507,0,0,390,164.6902174,0,0,,,,
99.11086957,148.6663043,0.463984929,148.6663043,0.463984929,507,0,0,390,148.6663043,0,0,,,,
66.46956522,99.70434783,0.460521941,99.70434783,0.460521941,507,0,0,390,99.70434783,0,0,,,,
108.6065217,162.9097826,0.460328014,162.9097826,0.460328014,507,0,0,390,162.9097826,0,0,,,,
106.2326087,159.348913,0.458942819,159.348913,0.458942819,507,0,0,390,159.348913,0,0,,,,
101.4847826,152.2271739,0.455812278,152.2271739,0.455812278,507,0,0,390,152.2271739,0,0,,,,
84.8673913,127.301087,0.454371676,127.301087,0.454371676,507,0,0,390,127.301087,0,0,,,,
99.70434783,149.5565217,0.454316268,149.5565217,0.454316268,507,0,0,390,149.5565217,0,0,,,,
101.4847826,152.2271739,0.453706782,152.2271739,0.453706782,507,0,0,390,152.2271739,0,0,,,,
105.0456522,157.5684783,0.454011525,157.5684783,0.454011525,507,0,0,390,157.5684783,0,0,,,,
103.2652174,154.8978261,0.454593307,154.8978261,0.454593307,507,0,0,390,154.8978261,0,0,,,,
128.1913043,192.2869565,0.456643395,192.2869565,0.456643395,507,0,0,390,192.2869565,0,0,,,,
148.9630435,223.4445652,0.454925754,223.4445652,0.454925754,507,0,0,390,223.4445652,0,0,,,,
135.9065217,203.8597826,0.451462766,203.8597826,0.451462766,507,0,0,390,203.8597826,0,0,,,,
145.4021739,218.1032609,0.449800532,218.1032609,0.449800532,507,0,0,390,218.1032609,0,0,,,,
156.0847826,234.1271739,0.448470745,234.1271739,0.448470745,507,0,0,390,234.1271739,0,0,,,,
120.476087,180.7141304,0.444980053,180.7141304,0.444980053,507,0,0,390,180.7141304,0,0,,,,
