"hour.horizon","mean","sd"
"1",0.49995,0.0113
"2",0.49995,0.0113
"3",0.49995,0.0113
"4",0.49995,0.0113
"5",0.49995,0.0113
"6",0.49995,0.0113
"7",0.49995,0.0113
"8",0.49995,0.0113
"9",0.49995,0.0113
"10",0.49995,0.0113
"11",0.49995,0.0113
"12",0.49995,0.0113
"13",0.49995,0.0113
"14",0.49995,0.0113
"15",0.49995,0.0113
"16",0.49995,0.0113
"17",0.49995,0.0113
"18",0.49995,0.0113
"19",0.49995,0.0113
"20",0.49995,0.0113
"21",0.49995,0.0113
"22",0.49995,0.0113
"23",0.49995,0.0113
"24",0.49995,0.0113
"25",0.49995,0.0113
"26",0.49995,0.0113
"27",0.49995,0.0113
"28",0.49995,0.0113
"29",0.49995,0.0113
"30",0.49995,0.0113
"31",0.49995,0.0113
"32",0.49995,0.0113
"33",0.49995,0.0113
"34",0.49995,0.0113
"35",0.49995,0.0113
"36",0.49995,0.0113
