"hour.horizon","mean","sd"
"1",0.00585,0.029675
"2",0.00585,0.029675
"3",0.00585,0.029675
"4",0.00585,0.029675
"5",0.00585,0.029675
"6",0.00585,0.029675
"7",0.00585,0.029675
"8",0.00585,0.029675
"9",0.00585,0.029675
"10",0.00585,0.029675
"11",0.00585,0.029675
"12",0.00585,0.029675
"13",0.00585,0.029675
"14",0.00585,0.029675
"15",0.00585,0.029675
"16",0.00585,0.029675
"17",0.00585,0.029675
"18",0.00585,0.029675
"19",0.00585,0.029675
"20",0.00585,0.029675
"21",0.00585,0.029675
"22",0.00585,0.029675
"23",0.00585,0.029675
"24",0.00585,0.029675
"25",0.00585,0.029675
"26",0.00585,0.029675
"27",0.00585,0.029675
"28",0.00585,0.029675
"29",0.00585,0.029675
"30",0.00585,0.029675
"31",0.00585,0.029675
"32",0.00585,0.029675
"33",0.00585,0.029675
"34",0.00585,0.029675
"35",0.00585,0.029675
"36",0.00585,0.029675
