"hour.horizon","mean","sd"
"1",0.4999,0.02255
"2",0.4999,0.02255
"3",0.4999,0.02255
"4",0.4999,0.02255
"5",0.4999,0.02255
"6",0.4999,0.02255
"7",0.4999,0.02255
"8",0.4999,0.02255
"9",0.4999,0.02255
"10",0.4999,0.02255
"11",0.4999,0.02255
"12",0.4999,0.02255
"13",0.4999,0.02255
"14",0.4999,0.02255
"15",0.4999,0.02255
"16",0.4999,0.02255
"17",0.4999,0.02255
"18",0.4999,0.02255
"19",0.4999,0.02255
"20",0.4999,0.02255
"21",0.4999,0.02255
"22",0.4999,0.02255
"23",0.4999,0.02255
"24",0.4999,0.02255
"25",0.4999,0.02255
"26",0.4999,0.02255
"27",0.4999,0.02255
"28",0.4999,0.02255
"29",0.4999,0.02255
"30",0.4999,0.02255
"31",0.4999,0.02255
"32",0.4999,0.02255
"33",0.4999,0.02255
"34",0.4999,0.02255
"35",0.4999,0.02255
"36",0.4999,0.02255
