"hour.horizon","mean","sd"
"1",0.4999,0.02
"2",0.4999,0.02
"3",0.4999,0.02
"4",0.4999,0.02
"5",0.4999,0.02
"6",0.4999,0.02
"7",0.4999,0.02
"8",0.4999,0.02
"9",0.4999,0.02
"10",0.4999,0.02
"11",0.4999,0.02
"12",0.4999,0.02
"13",0.4999,0.02
"14",0.4999,0.02
"15",0.4999,0.02
"16",0.4999,0.02
"17",0.4999,0.02
"18",0.4999,0.02
"19",0.4999,0.02
"20",0.4999,0.02
"21",0.4999,0.02
"22",0.4999,0.02
"23",0.4999,0.02
"24",0.4999,0.02
"25",0.4999,0.02
"26",0.4999,0.02
"27",0.4999,0.02
"28",0.4999,0.02
"29",0.4999,0.02
"30",0.4999,0.02
"31",0.4999,0.02
"32",0.4999,0.02
"33",0.4999,0.02
"34",0.4999,0.02
"35",0.4999,0.02
"36",0.4999,0.02
