"hour.horizon","mean","sd"
"1",0.4999,0.0044
"2",0.4999,0.0044
"3",0.4999,0.0044
"4",0.4999,0.0044
"5",0.4999,0.0044
"6",0.4999,0.0044
"7",0.4999,0.0044
"8",0.4999,0.0044
"9",0.4999,0.0044
"10",0.4999,0.0044
"11",0.4999,0.0044
"12",0.4999,0.0044
"13",0.4999,0.0044
"14",0.4999,0.0044
"15",0.4999,0.0044
"16",0.4999,0.0044
"17",0.4999,0.0044
"18",0.4999,0.0044
"19",0.4999,0.0044
"20",0.4999,0.0044
"21",0.4999,0.0044
"22",0.4999,0.0044
"23",0.4999,0.0044
"24",0.4999,0.0044
"25",0.4999,0.0044
"26",0.4999,0.0044
"27",0.4999,0.0044
"28",0.4999,0.0044
"29",0.4999,0.0044
"30",0.4999,0.0044
"31",0.4999,0.0044
"32",0.4999,0.0044
"33",0.4999,0.0044
"34",0.4999,0.0044
"35",0.4999,0.0044
"36",0.4999,0.0044
