startprofiel,startprofiel+extra,aangepast profiel,LF aangepast profiel ,regelpunt,kwartieren boven limiet,LF  startprofiel+extra,390 of 360A,regelpunt profiel 360/390A,,startprofiel2,startprofiel2+extra,aangepast profiel2,profiel2 360/390A,
343.3695652,515.0543478,468,0.939358747,468,2,0.976779514,360,360,0,,,,,
345.0652174,517.5978261,468,0.941286341,468,3,0.979702819,360,360,0,,,,,
338.2826087,507.423913,468,0.940928907,340,4,0.980136846,360,360,0,,,,,
337.8586957,506.7880435,340,0.937529459,340,4,0.980085784,360,360,1,,,,,
333.1956522,499.7934783,340,0.934142777,340,4,0.979907067,360,360,1,,,,,
327.2608696,490.8913043,340,0.931164591,340,4,0.979958129,360,360,1,,,,,
322.5978261,483.8967391,340,0.927854502,468,0,0.979536867,360,360,1,,,,,
319.6304348,479.4456522,468,0.92694815,468,1,0.978860294,360,360,0,,,,,
327.2608696,490.8913043,468,0.926029032,468,2,0.978400735,360,360,0,,,,,
334.4673913,501.701087,468,0.925390756,468,3,0.978439032,360,360,0,,,,,
321.326087,481.9891304,468,0.925020556,340,4,0.978349673,360,360,0,,,,,
334.0434783,501.0652174,340,0.922476398,340,4,0.979039011,360,360,1,,,,,
327.6847826,491.5271739,340,0.919791819,340,4,0.979396446,360,360,1,,,,,
339.5543478,509.3315217,340,0.917694455,340,4,0.980698529,360,360,1,,,,,
343.7934783,515.6902174,340,0.91522689,468,0,0.981758068,360,360,1,,,,,
342.5217391,513.7826087,468,0.915584325,468,1,0.98303462,360,360,0,,,,,
333.6195652,500.4293478,468,0.91559709,468,2,0.983698427,360,360,0,,,,,
314.1195652,471.1793478,468,0.914729035,468,3,0.982894199,360,360,0,,,,,
308.6086957,462.9130435,462.9130435,0.91374609,340,4,0.981911254,360,360,0,,,,,
334.8913043,502.3369565,340,0.910231752,340,4,0.981655944,360,360,1,,,,,
332.3478261,498.5217391,340,0.906921663,340,4,0.981528288,360,360,1,,,,,
344.6413043,516.9619565,340,0.903483918,340,4,0.981643178,360,360,1,,,,,
340.4021739,510.6032609,340,0.900327016,468,0,0.981911254,360,360,1,,,,,
345.9130435,518.8695652,468,0.899663208,468,1,0.982268689,360,360,0,,,,,
335.7391304,503.6086957,468,0.898782387,468,2,0.982102737,360,360,0,,,,,
343.3695652,515.0543478,468,0.89811858,468,3,0.982383578,360,360,0,,,,,
325.5652174,488.3478261,468,0.897276056,340,4,0.981949551,360,360,0,,,,,
286.9891304,430.4836957,340,0.893965966,340,4,0.980455984,360,360,1,,,,,
301.4021739,452.1032609,340,0.890604815,340,4,0.979345384,360,360,1,,,,,
318.7826087,478.173913,340,0.887205367,340,4,0.978719873,360,360,1,,,,,
318.7826087,478.173913,340,0.883971871,468,0,0.978260315,360,360,1,,,,,
313.2717391,469.9076087,468,0.883078285,468,1,0.977405025,360,360,0,,,,,
315.8152174,473.7228261,468,0.882669788,468,2,0.977111417,360,360,0,,,,,
308.6086957,462.9130435,462.9130435,0.881776201,468,3,0.976217831,360,360,0,,,,,
307.7608696,461.6413043,461.6413043,0.880971973,340,4,0.975413603,360,360,0,,,,,
286.5652174,429.8478261,340,0.877738477,340,4,0.973983864,360,360,1,,,,,
258.1630435,387.2445652,340,0.874326264,340,4,0.971520118,360,360,1,,,,,
248.4130435,372.6195652,340,0.871424672,340,4,0.969273386,360,360,1,,,,,
146.673913,220.0108696,220.0108696,0.866241869,468,0,0.964090584,360,220.0108696,0,,,,,
205.5978261,308.3967391,308.3967391,0.862373916,468,0,0.960222631,360,308.3967391,0,,,,,
148.7934783,223.1902174,223.1902174,0.856680493,468,0,0.954529208,360,223.1902174,0,,,,,
148.3695652,222.5543478,222.5543478,0.850859414,468,0,0.948708129,360,222.5543478,0,,,,,
88.17391304,132.2608696,132.2608696,0.843417114,468,0,0.941265829,360,132.2608696,0,,,,,
111.0652174,166.5978261,166.5978261,0.837021587,468,0,0.934870302,360,166.5978261,0,,,,,
184.826087,277.2391304,277.2391304,0.832362172,468,0,0.930210886,360,277.2391304,0,,,,,
222.9782609,334.4673913,334.4673913,0.828851653,468,0,0.926700368,360,334.4673913,0,,,,,
196.6956522,295.0434783,295.0434783,0.824422016,468,0,0.922270731,360,295.0434783,0,,,,,
195.8478261,293.7717391,293.7717391,0.819941318,468,0,0.917790033,360,293.7717391,0,,,,,
220.4347826,330.6521739,330.6521739,0.816392503,468,0,0.914241217,360,330.6521739,0,,,,,
203.4782609,305.2173913,305.2173913,0.812128818,468,0,0.909977533,360,305.2173913,0,,,,,
256.0434783,384.0652174,384.0652174,0.80949912,468,1,0.907347835,360,360,0,,,,,
256.8913043,385.3369565,385.3369565,0.806856657,468,2,0.904705372,360,360,0,,,,,
251.8043478,377.7065217,377.7065217,0.804035476,468,3,0.901884191,360,360,0,,,,,
253.923913,380.8858696,380.8858696,0.801278123,340,4,0.899126838,360,360,0,,,,,
248.4130435,372.6195652,340,0.797699958,340,4,0.896203533,360,360,1,,,,,
262.4021739,393.6032609,340,0.794121793,340,4,0.893701491,360,360,1,,,,,
270.4565217,405.6847826,340,0.790543628,340,4,0.891441993,360,360,1,,,,,
261.5543478,392.3315217,340,0.786952697,507,0,0.888901654,360,360,1,,,,,
247.9891304,371.9836957,371.9836957,0.784029393,507,0,0.88597835,360,360,0,,,,,
204.75,307.125,307.125,0.779778473,507,0,0.881727431,360,307.125,0,,,,,
189.0652174,283.5978261,283.5978261,0.775067996,507,0,0.877016953,360,283.5978261,0,,,,,
214.076087,321.1141304,321.1141304,0.771110683,507,0,0.873059641,360,321.1141304,0,,,,,
242.0543478,363.0815217,363.0815217,0.768008661,507,0,0.869957618,360,360,0,,,,,
279.3586957,419.0380435,419.0380435,0.76601724,507,1,0.867966197,360,360,0,,,,,
282.75,424.125,424.125,0.764153473,507,2,0.866102431,360,360,0,,,,,
273.8478261,410.7717391,410.7717391,0.762008866,507,3,0.863957823,360,360,0,,,,,
279.3586957,419.0380435,419.0380435,0.760017444,340,4,0.861966401,360,360,0,,,,,
292.076087,438.1141304,340,0.756426513,340,4,0.86034518,360,360,1,,,,,
268.3369565,402.5054348,340,0.752848348,340,4,0.858021855,360,360,1,,,,,
282.75,424.125,340,0.74930848,340,4,0.856170854,360,360,1,,,,,
242.4782609,363.7173913,340,0.745730314,507,0,0.853068832,360,360,1,,,,,
248.4130435,372.6195652,372.6195652,0.742794244,507,0,0.850132761,360,360,0,,,,,
237.8152174,356.7228261,356.7228261,0.739539036,507,0,0.846877553,360,356.7228261,0,,,,,
244.173913,366.2608696,366.2608696,0.73647531,507,0,0.843813828,360,360,0,,,,,
304.3695652,456.5543478,456.5543478,0.735224289,507,1,0.842562806,360,360,0,,,,,
290.3804348,435.5706522,435.5706522,0.733552006,507,2,0.840890523,360,360,0,,,,,
306.9130435,460.3695652,460.3695652,0.732390343,507,3,0.83972886,360,360,0,,,,,
331.076087,496.6141304,496.6141304,0.73194355,340,4,0.839282067,360,360,0,,,,,
299.7065217,449.5597826,340,0.728352619,340,4,0.837890625,360,360,1,,,,,
309.0326087,463.548913,340,0.757241406,340,4,0.836780025,360,360,1,,,,,
307.7608696,461.6413043,340,0.754556558,340,4,0.835656658,360,360,1,,,,,
295.8913043,443.8369565,340,0.75187171,507,0,0.834150327,360,360,1,,,,,
275.1195652,412.6793478,412.6793478,0.750711339,507,1,0.83203125,360,360,0,,,,,
321.326087,481.9891304,481.9891304,0.753689614,507,2,0.83129085,360,360,0,,,,,
340.826087,511.2391304,507,0.741681451,507,3,0.831150429,360,360,0,,,,,
344.6413043,516.9619565,507,0.745112581,340,4,0.831112132,360,360,0,,,,,
345.9130435,518.8695652,340,0.745112581,340,4,0.831112132,360,360,1,,,,,
346.3369565,519.5054348,340,0.742482733,340,4,0.830107609,360,360,1,,,,,
345.9130435,518.8695652,340,0.739852884,340,4,0.830120359,360,360,1,,,,,
332.7717391,499.1576087,340,0.737223035,507,0,0.829737862,360,360,1,,,,,
303.9456522,455.9184783,455.9184783,0.736974812,507,1,0.828488372,360,360,0,,,,,
328.5326087,492.798913,492.798913,0.740114172,507,2,0.828220624,360,360,0,,,,,
337.8586957,506.7880435,506.7880435,0.743540948,507,3,0.828029376,360,360,0,,,,,
342.0978261,513.1467391,507,0.746972078,340,4,0.827914627,360,360,0,,,,,
344.2173913,516.326087,340,0.746972078,340,4,0.827876377,360,360,1,,,,,
342.9456522,514.4184783,340,0.74434223,340,4,0.827799878,360,360,1,,,,,
338.2826087,507.423913,340,0.741712381,340,4,0.827646879,360,360,1,,,,,
325.1413043,487.7119565,340,0.739082532,507,0,0.827047634,360,360,1,,,,,
335.3152174,502.9728261,502.9728261,0.739801073,507,1,0.826958384,360,360,0,,,,,
340.826087,511.2391304,507,0.743232204,507,2,0.827047634,360,360,0,,,,,
342.9456522,514.4184783,507,0.746663335,507,3,0.827340881,360,360,0,,,,,
345.0652174,517.5978261,507,0.750094466,340,4,0.827876377,360,360,0,,,,,
345.4891304,518.2336957,340,0.750094466,340,4,0.828564871,360,360,1,,,,,
345.9130435,518.8695652,340,0.747464617,340,4,0.829355365,360,360,1,,,,,
346.3369565,519.5054348,340,0.744834768,340,4,0.829929111,360,360,1,,,,,
341.673913,512.5108696,340,0.742204919,507,0,0.830145859,360,360,1,,,,,
342.5217391,513.7826087,507,0.743006201,507,1,0.830783354,360,360,0,,,,,
342.5217391,513.7826087,507,0.746437332,507,2,0.831038352,360,360,0,,,,,
329.3804348,494.0706522,494.0706522,0.74960282,507,3,0.831089351,360,360,0,,,,,
342.9456522,514.4184783,507,0.753033951,340,4,0.83119135,360,360,0,,,,,
339.9782609,509.9673913,340,0.753033951,340,4,0.831076601,360,360,1,,,,,
336.5869565,504.8804348,340,0.750404103,340,4,0.830898103,360,360,1,,,,,
334.8913043,502.3369565,340,0.747774254,340,4,0.830936353,360,360,1,,,,,
343.7934783,515.6902174,340,0.745144405,507,0,0.831828845,360,360,1,,,,,
341.673913,512.5108696,507,0.746050202,507,1,0.832823337,360,360,0,,,,,
344.6413043,516.9619565,507,0.749481333,507,2,0.833116585,360,360,0,,,,,
337.8586957,506.7880435,506.7880435,0.752908109,507,3,0.833282334,360,360,0,,,,,
336.1630435,504.2445652,504.2445652,0.756282627,340,4,0.833027336,360,360,0,,,,,
337.8586957,506.7880435,340,0.756282627,340,4,0.832950836,360,360,1,,,,,
342.5217391,513.7826087,340,0.753652779,340,4,0.832848837,360,360,1,,,,,
335.3152174,502.9728261,340,0.75102293,340,4,0.832836087,360,360,1,,,,,
340.4021739,510.6032609,340,0.748393081,507,0,0.832746838,360,360,1,,,,,
345.4891304,518.2336957,507,0.749194363,507,1,0.833346083,360,360,0,,,,,
343.3695652,515.0543478,507,0.752625494,507,2,0.83504182,360,360,0,,,,,
345.0652174,517.5978261,507,0.756056625,507,3,0.836355059,360,360,0,,,,,
345.9130435,518.8695652,507,0.759487756,340,4,0.837171053,360,360,0,,,,,
344.2173913,516.326087,340,0.759487756,340,4,0.837936047,360,360,1,,,,,
342.9456522,514.4184783,340,0.756857907,340,4,0.838828539,360,360,1,,,,,
343.7934783,515.6902174,340,0.754228058,340,4,0.839670033,360,360,1,,,,,
337.4347826,506.1521739,340,0.751702724,507,0,0.840537026,360,360,1,,,,,
339.5543478,509.3315217,507,0.75263465,507,1,0.841493268,360,360,0,,,,,
345.9130435,518.8695652,507,0.756065781,507,2,0.843278254,360,360,0,,,,,
345.9130435,518.8695652,507,0.759496912,507,3,0.845917483,360,360,0,,,,,
339.5543478,509.3315217,507,0.762928043,340,4,0.848658711,360,360,0,,,,,
337.8586957,506.7880435,340,0.765393303,340,4,0.854408915,360,360,1,,,,,
338.2826087,507.423913,340,0.766042614,340,4,0.858399633,360,360,1,,,,,
343.7934783,515.6902174,340,0.768442552,340,4,0.864264586,360,360,1,,,,,
342.0978261,513.1467391,340,0.770855554,507,0,0.870091289,360,360,1,,,,,
332.3478261,498.5217391,498.5217391,0.778380638,507,1,0.877435231,360,360,0,,,,,
313.6956522,470.5434783,470.5434783,0.784625412,507,2,0.883529682,360,360,0,,,,,
306.9130435,460.3695652,460.3695652,0.788387954,507,3,0.887201652,360,360,0,,,,,
301.4021739,452.1032609,452.1032609,0.790804864,340,4,0.889560384,360,360,0,,,,,
274.6956522,412.0434783,340,0.791728527,340,4,0.891906365,360,360,1,,,,,
169.5652174,254.3478261,254.3478261,0.790918535,507,0,0.891115871,360,254.3478261,0,,,,,
345.9130435,518.8695652,507,0.794541724,507,1,0.894889841,360,360,0,,,,,
341.673913,512.5108696,507,0.798687487,507,2,0.899046308,360,360,0,,,,,
303.0978261,454.6467391,454.6467391,0.800137634,468,3,0.900461546,360,360,0,,,,,
232.3043478,348.4565217,348.4565217,0.7993799,507,3,0.899722052,360,348.4565217,0,,,,,
317.0869565,475.6304348,475.6304348,0.801391814,340,4,0.901685537,360,360,0,,,,,
346.3369565,519.5054348,340,0.800551786,340,4,0.904465014,360,360,1,,,,,
346.7608696,520.1413043,340,0.800551786,340,4,0.906313672,360,360,1,,,,,
346.3369565,519.5054348,340,0.800551786,340,4,0.908835065,360,360,1,,,,,
345.9130435,518.8695652,340,0.800551786,468,0,0.911101773,360,360,1,,,,,
346.3369565,519.5054348,468,0.803181635,468,1,0.913648635,360,360,0,,,,,
346.3369565,519.5054348,468,0.805154356,468,2,0.916602995,360,360,0,,,,,
345.9130435,518.8695652,468,0.808459645,468,3,0.920843521,360,360,0,,,,,
345.4891304,518.2336957,468,0.812248315,340,4,0.925542482,360,360,0,,,,,
343.7934783,515.6902174,340,0.812636339,340,4,0.929439181,360,360,1,,,,,
342.5217391,513.7826087,340,0.812162113,340,4,0.932457213,360,360,1,,,,,
345.9130435,518.8695652,340,0.810538221,340,4,0.9344565,360,360,1,,,,,
189.9130435,284.8695652,284.8695652,0.807677122,468,0,0.931667685,360,284.8695652,0,,,,,
345.9130435,518.8695652,468,0.808852916,468,1,0.933832518,360,360,0,,,,,
346.3369565,519.5054348,468,0.809858873,468,2,0.93584454,360,360,0,,,,,
336.5869565,504.8804348,468,0.812488722,468,3,0.937181642,360,360,0,,,,,
337.8586957,506.7880435,468,0.815118571,340,4,0.939270069,360,360,0,,,,,
345.9130435,518.8695652,340,0.815118571,340,4,0.941167482,360,360,1,,,,,
346.3369565,519.5054348,340,0.815118571,340,4,0.944287388,360,360,1,,,,,
346.3369565,519.5054348,340,0.814448379,340,4,0.947229014,360,360,1,,,,,
345.9130435,518.8695652,340,0.814104797,468,0,0.950476263,360,360,1,,,,,
346.3369565,519.5054348,468,0.816195098,468,1,0.953545232,360,360,0,,,,,
345.9130435,518.8695652,468,0.816430257,468,2,0.954793195,360,360,0,,,,,
346.3369565,519.5054348,468,0.817096541,468,3,0.956474124,360,360,0,,,,,
336.1630435,504.2445652,468,0.817253313,340,4,0.957352791,360,360,0,,,,,
339.1304348,508.6956522,340,0.814035567,340,4,0.957594743,360,360,1,,,,,
304.7934783,457.1902174,340,0.814035567,340,4,0.957747555,360,360,1,,,,,
184.4021739,276.6032609,276.6032609,0.812733037,468,0,0.954003667,360,276.6032609,0,,,,,
304.3695652,456.5543478,456.5543478,0.815127727,468,1,0.953901793,360,360,0,,,,,
269.6086957,404.4130435,404.4130435,0.816451138,468,2,0.953112266,360,360,0,,,,,
287.8369565,431.7554348,431.7554348,0.816843069,468,3,0.953494295,360,360,0,,,,,
306.9130435,460.3695652,460.3695652,0.81639888,340,4,0.953061328,360,360,0,,,,,
267.0652174,400.5978261,340,0.81296775,340,4,0.950845558,360,360,1,,,,,
272.576087,408.8641304,340,0.809536619,340,4,0.948680725,360,360,1,,,,,
269.1847826,403.7771739,340,0.809536619,340,4,0.946375815,360,360,1,,,,,
328.5326087,492.798913,340,0.809536619,468,0,0.945840974,360,360,1,,,,,
340.826087,511.2391304,468,0.812166467,468,1,0.945688162,360,360,0,,,,,
281.9021739,422.8532609,422.8532609,0.813868745,468,2,0.944160045,360,360,0,,,,,
224.673913,337.0108696,337.0108696,0.811425706,468,0,0.941778729,360,337.0108696,0,,,,,
309.4565217,464.1847826,464.1847826,0.810837809,468,1,0.941205685,360,360,0,,,,,
322.173913,483.2608696,468,0.810040881,468,2,0.940734515,360,360,0,,,,,
337.0108696,505.5163043,468,0.809239599,468,3,0.940581703,360,360,0,,,,,
340.826087,511.2391304,468,0.811869448,340,4,0.940479829,360,360,0,,,,,
344.2173913,516.326087,340,0.811869448,340,4,0.940518032,360,360,1,,,,,
345.9130435,518.8695652,340,0.811869448,340,4,0.940747249,360,360,1,,,,,
344.2173913,516.326087,340,0.811869448,340,4,0.941320293,360,360,1,,,,,
330.2282609,495.3423913,340,0.808521058,468,0,0.941167482,360,360,1,,,,,
314.5434783,471.8152174,468,0.807719776,468,1,0.940377954,360,360,0,,,,,
292.923913,439.3858696,439.3858696,0.806330597,468,2,0.938875306,360,360,0,,,,,
292.5,438.75,438.75,0.804928354,468,3,0.937296251,360,360,0,,,,,
323.4456522,485.1684783,468,0.807558202,340,4,0.936634067,360,360,0,,,,,
325.5652174,488.3478261,340,0.807558202,340,4,0.93602282,360,360,1,,,,,
275.9673913,413.951087,340,0.807558202,340,4,0.933908924,360,360,1,,,,,
289.9565217,434.9347826,340,0.807558202,340,4,0.932355338,360,360,1,,,,,
285.7173913,428.576087,340,0.804127072,468,0,0.930648941,360,360,1,,,,,
323.0217391,484.5326087,468,0.803325789,468,1,0.930063162,360,360,0,,,,,
318.3586957,477.5380435,468,0.80279015,468,2,0.92973207,360,360,0,,,,,
272.1521739,408.2282609,408.2282609,0.800760816,468,3,0.92760544,360,360,0,,,,,
289.1086957,433.6630435,433.6630435,0.802685188,340,4,0.926077323,360,360,0,,,,,
292.076087,438.1141304,340,0.802685188,340,4,0.92474022,360,360,1,,,,,
292.923913,439.3858696,340,0.802685188,340,4,0.923479523,360,360,1,,,,,
314.9673913,472.451087,340,0.802685188,340,4,0.92261359,360,360,1,,,,,
334.0434783,501.0652174,340,0.799254057,507,0,0.922384372,360,360,1,,,,,
322.173913,483.2608696,483.2608696,0.79876632,507,1,0.921709454,360,360,0,,,,,
314.9673913,472.451087,472.451087,0.798060844,507,2,0.921021801,360,360,0,,,,,
260.2826087,390.423913,390.423913,0.79572232,507,3,0.918742359,360,360,0,,,,,
223.4021739,335.1032609,335.1032609,0.795621713,507,0,0.915304095,360,335.1032609,0,,,,,
220.4347826,330.6521739,330.6521739,0.795429655,507,0,0.911636614,360,330.6521739,0,,,,,
